,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,match report,team
54,5/14/2023,14:00,Matchweek 36,Sun,Away,,,,Everton,2.155882353,0.761764706,64.94117647,Head-to-Head,Manchester City
56,5/21/2023,16:00,Matchweek 37,Sun,Home,,,,Chelsea,2.155882353,0.761764706,64.94117647,Head-to-Head,Manchester City
57,5/24/2023,20:00,Matchweek 32,Wed,Away,,,,Brighton,2.155882353,0.761764706,64.94117647,Head-to-Head,Manchester City
58,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Brentford,2.155882353,0.761764706,64.94117647,Head-to-Head,Manchester City
46,5/14/2023,16:30,Matchweek 36,Sun,Home,,,,Brighton,1.925714286,1.125714286,59.45714286,Head-to-Head,Arsenal
47,5/20/2023,17:30,Matchweek 37,Sat,Away,,,,Nott'ham Forest,1.925714286,1.125714286,59.45714286,Head-to-Head,Arsenal
48,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,Wolves,1.925714286,1.125714286,59.45714286,Head-to-Head,Arsenal
42,5/13/2023,12:30,Matchweek 36,Sat,Away,,,,Leeds United,1.832352941,1.029411765,52.17647059,Head-to-Head,Newcastle Utd
43,5/18/2023,19:30,Matchweek 25,Thu,Home,,,,Brighton,1.832352941,1.029411765,52.17647059,Head-to-Head,Newcastle Utd
44,5/22/2023,20:00,Matchweek 37,Mon,Home,,,,Leicester City,1.832352941,1.029411765,52.17647059,Head-to-Head,Newcastle Utd
45,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Chelsea,1.832352941,1.029411765,52.17647059,Head-to-Head,Newcastle Utd
57,5/13/2023,15:00,Matchweek 36,Sat,Home,,,,Wolves,1.611764706,1.332352941,54.08823529,Head-to-Head,Manchester Utd
58,5/20/2023,15:00,Matchweek 37,Sat,Away,,,,Bournemouth,1.611764706,1.332352941,54.08823529,Head-to-Head,Manchester Utd
59,5/25/2023,20:00,Matchweek 32,Thu,Home,,,,Chelsea,1.611764706,1.332352941,54.08823529,Head-to-Head,Manchester Utd
60,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,Fulham,1.611764706,1.332352941,54.08823529,Head-to-Head,Manchester Utd
49,5/15/2023,20:00,Matchweek 36,Mon,Away,,,,Leicester City,1.874285714,1.354285714,60.28571429,Head-to-Head,Liverpool
50,5/20/2023,15:00,Matchweek 37,Sat,Home,,,,Aston Villa,1.874285714,1.354285714,60.28571429,Head-to-Head,Liverpool
51,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Southampton,1.874285714,1.354285714,60.28571429,Head-to-Head,Liverpool
47,5/13/2023,15:00,Matchweek 36,Sat,Away,,,,Aston Villa,1.482857143,1.3,49.71428571,Head-to-Head,Tottenham
48,5/20/2023,12:30,Matchweek 37,Sat,Home,,,,Brentford,1.482857143,1.3,49.71428571,Head-to-Head,Tottenham
49,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Leeds United,1.482857143,1.3,49.71428571,Head-to-Head,Tottenham
41,5/14/2023,16:30,Matchweek 36,Sun,Away,,,,Arsenal,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton
42,5/18/2023,19:30,Matchweek 25,Thu,Away,,,,Newcastle Utd,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton
43,5/21/2023,14:00,Matchweek 37,Sun,Home,,,,Southampton,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton
44,5/24/2023,20:00,Matchweek 32,Wed,Home,,,,Manchester City,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton
45,5/28/2023,16:30,Matchweek 38,Sun,Away,,,,Aston Villa,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton
38,5/13/2023,15:00,Matchweek 36,Sat,Home,,,,Tottenham,1.282857143,1.4,49.97142857,Head-to-Head,Aston Villa
39,5/20/2023,15:00,Matchweek 37,Sat,Away,,,,Liverpool,1.282857143,1.4,49.97142857,Head-to-Head,Aston Villa
40,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,Brighton,1.282857143,1.4,49.97142857,Head-to-Head,Aston Villa
38,5/14/2023,14:00,Matchweek 36,Sun,Home,,,,West Ham,1.457142857,1.334285714,43.97142857,Head-to-Head,Brentford
39,5/20/2023,12:30,Matchweek 37,Sat,Away,,,,Tottenham,1.457142857,1.334285714,43.97142857,Head-to-Head,Brentford
40,5/28/2023,16:30,Matchweek 38,Sun,Home,,,,Manchester City,1.457142857,1.334285714,43.97142857,Head-to-Head,Brentford
41,5/13/2023,15:00,Matchweek 36,Sat,Away,,,,Southampton,1.182857143,1.68,48.37142857,Head-to-Head,Fulham
42,5/20/2023,15:00,Matchweek 37,Sat,Home,,,,Crystal Palace,1.182857143,1.68,48.37142857,Head-to-Head,Fulham
