Unnamed: 0,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,match report,team,venue_code,opp_code,hour,day_code,target,predict,"predict without xg, xga, poss"
25,2023-01-05,20:00,Matchweek 19,Thu,Away,W,1.0,0.0,Chelsea,2.1,0.4,52.0,Match Report,Manchester City,0,5,20,3,3,3,0
28,2023-01-14,12:30,Matchweek 20,Sat,Away,L,1.0,2.0,Manchester Utd,0.6,1.7,70.0,Match Report,Manchester City,0,13,12,5,0,0,0
29,2023-01-19,20:00,Matchweek 7,Thu,Home,W,4.0,2.0,Tottenham,2.3,0.8,58.0,Match Report,Manchester City,1,17,20,3,3,3,3
30,2023-01-22,14:00,Matchweek 21,Sun,Home,W,3.0,0.0,Wolves,2.8,0.8,55.0,Match Report,Manchester City,1,19,14,6,3,3,3
32,2023-02-05,16:30,Matchweek 22,Sun,Away,L,0.0,1.0,Tottenham,1.3,1.4,64.0,Match Report,Manchester City,0,17,16,6,0,3,3
33,2023-02-12,16:30,Matchweek 23,Sun,Home,W,3.0,1.0,Aston Villa,3.3,0.3,67.0,Match Report,Manchester City,1,1,16,6,3,3,3
34,2023-02-15,19:30,Matchweek 12,Wed,Away,W,3.0,1.0,Arsenal,1.8,1.6,37.0,Match Report,Manchester City,0,0,19,2,3,0,0
35,2023-02-18,15:00,Matchweek 24,Sat,Away,D,1.0,1.0,Nott'ham Forest,2.4,0.9,73.0,Match Report,Manchester City,0,15,15,5,1,3,0
37,2023-02-25,17:30,Matchweek 25,Sat,Away,W,4.0,1.0,Bournemouth,2.4,1.0,66.0,Match Report,Manchester City,0,2,17,5,3,3,3
39,2023-03-04,12:30,Matchweek 26,Sat,Home,W,2.0,0.0,Newcastle Utd,1.3,0.4,56.0,Match Report,Manchester City,1,14,12,5,3,3,0
40,2023-03-11,17:30,Matchweek 27,Sat,Away,W,1.0,0.0,Crystal Palace,2.1,0.2,67.0,Match Report,Manchester City,0,6,17,5,3,3,3
43,2023-04-01,12:30,Matchweek 29,Sat,Home,W,4.0,1.0,Liverpool,2.9,0.3,68.0,Match Report,Manchester City,1,11,12,5,3,3,0
44,2023-04-08,17:30,Matchweek 30,Sat,Away,W,4.0,1.0,Southampton,2.9,0.4,73.0,Match Report,Manchester City,0,16,17,5,3,3,0
