date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,match report,team,venue_code,opp_code,hour,day_code,predict,"predict without xg, xga, poss"
5/14/2023,14:00,Matchweek 36,Sun,Away,3,3,0,Everton,2.155882353,0.761764706,64.94117647,Head-to-Head,Manchester City,0,7,14,6,3,3
5/21/2023,16:00,Matchweek 37,Sun,Home,3,1,0,Chelsea,2.155882353,0.761764706,64.94117647,Head-to-Head,Manchester City,1,5,16,6,3,3
5/14/2023,16:30,Matchweek 36,Sun,Home,0,0,3,Brighton,1.925714286,1.125714286,59.45714286,Head-to-Head,Arsenal,1,4,16,6,3,1
5/20/2023,17:30,Matchweek 37,Sat,Away,0,0,1,Nott'ham Forest,1.925714286,1.125714286,59.45714286,Head-to-Head,Arsenal,0,15,17,5,3,3
5/13/2023,12:30,Matchweek 36,Sat,Away,1,2,2,Leeds United,1.832352941,1.029411765,52.17647059,Head-to-Head,Newcastle Utd,0,9,12,5,3,0
5/18/2023,19:30,Matchweek 25,Thu,Home,3,4,1,Brighton,1.832352941,1.029411765,52.17647059,Head-to-Head,Newcastle Utd,1,4,19,3,3,3
5/13/2023,15:00,Matchweek 36,Sat,Home,3,2,0,Wolves,1.611764706,1.332352941,54.08823529,Head-to-Head,Manchester Utd,1,19,15,5,3,3
5/20/2023,15:00,Matchweek 37,Sat,Away,3,1,0,Bournemouth,1.611764706,1.332352941,54.08823529,Head-to-Head,Manchester Utd,0,2,15,5,3,0
5/15/2023,20:00,Matchweek 36,Mon,Away,3,3,0,Leicester City,1.874285714,1.354285714,60.28571429,Head-to-Head,Liverpool,0,10,20,0,3,0
5/20/2023,15:00,Matchweek 37,Sat,Home,1,1,1,Aston Villa,1.874285714,1.354285714,60.28571429,Head-to-Head,Liverpool,1,1,15,5,3,3
5/13/2023,15:00,Matchweek 36,Sat,Away,0,1,2,Aston Villa,1.482857143,1.3,49.71428571,Head-to-Head,Tottenham,0,1,15,5,0,0
5/20/2023,12:30,Matchweek 37,Sat,Home,0,1,3,Brentford,1.482857143,1.3,49.71428571,Head-to-Head,Tottenham,1,3,12,5,3,1
5/14/2023,16:30,Matchweek 36,Sun,Away,3,3,0,Arsenal,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton,0,0,16,6,0,0
5/18/2023,19:30,Matchweek 25,Thu,Away,0,1,4,Newcastle Utd,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton,0,14,19,3,3,0
5/21/2023,14:00,Matchweek 37,Sun,Home,3,3,1,Southampton,1.96969697,1.218181818,60.6969697,Head-to-Head,Brighton,1,16,14,6,3,3
5/13/2023,15:00,Matchweek 36,Sat,Home,3,2,1,Tottenham,1.282857143,1.4,49.97142857,Head-to-Head,Aston Villa,1,17,15,5,3,3
5/20/2023,15:00,Matchweek 37,Sat,Away,3,1,1,Liverpool,1.282857143,1.4,49.97142857,Head-to-Head,Aston Villa,0,11,15,5,0,0
5/14/2023,14:00,Matchweek 36,Sun,Home,3,2,0,West Ham,1.457142857,1.334285714,43.97142857,Head-to-Head,Brentford,1,18,14,6,3,3
5/20/2023,12:30,Matchweek 37,Sat,Away,3,3,1,Tottenham,1.457142857,1.334285714,43.97142857,Head-to-Head,Brentford,0,17,12,5,3,0
5/13/2023,15:00,Matchweek 36,Sat,Away,3,2,0,Southampton,1.182857143,1.68,48.37142857,Head-to-Head,Fulham,0,16,15,5,0,3
5/20/2023,15:00,Matchweek 37,Sat,Home,1,2,2,Crystal Palace,1.182857143,1.68,48.37142857,Head-to-Head,Fulham,1,6,15,5,0,3
5/13/2023,15:00,Matchweek 36,Sat,Home,1,2,2,Nott'ham Forest,1.267647059,1.267647059,58.70588235,Head-to-Head,Chelsea,1,15,15,5,3,3
5/21/2023,16:00,Matchweek 37,Sun,Away,0,0,1,Manchester City,1.267647059,1.267647059,58.70588235,Head-to-Head,Chelsea,0,12,16,6,0,0
5/13/2023,15:00,Matchweek 36,Sat,Home,3,2,0,Bournemouth,0.994285714,1.305714286,45.28571429,Head-to-Head,Crystal Palace,1,2,15,5,3,3
5/20/2023,15:00,Matchweek 37,Sat,Away,1,2,2,Fulham,0.994285714,1.305714286,45.28571429,Head-to-Head,Crystal Palace,0,8,15,5,0,0
5/13/2023,15:00,Matchweek 36,Sat,Away,0,0,2,Manchester Utd,0.991428571,1.497142857,49.85714286,Head-to-Head,Wolves,0,13,15,5,0,0
5/20/2023,15:00,Matchweek 37,Sat,Home,1,1,1,Everton,0.991428571,1.497142857,49.85714286,Head-to-Head,Wolves,1,7,15,5,0,3
5/13/2023,15:00,Matchweek 36,Sat,Away,0,0,2,Crystal Palace,1.042857143,1.708571429,39.77142857,Head-to-Head,Bournemouth,0,6,15,5,0,0
5/20/2023,15:00,Matchweek 37,Sat,Home,0,0,1,Manchester Utd,1.042857143,1.708571429,39.77142857,Head-to-Head,Bournemouth,1,13,15,5,0,0
5/14/2023,14:00,Matchweek 36,Sun,Away,0,0,2,Brentford,1.3,1.351428571,41.2,Head-to-Head,West Ham,0,3,14,6,0,0
5/21/2023,13:30,Matchweek 37,Sun,Home,3,3,1,Leeds United,1.3,1.351428571,41.2,Head-to-Head,West Ham,1,9,13,6,3,3
5/13/2023,15:00,Matchweek 36,Sat,Away,1,2,2,Chelsea,1.06,1.742857143,38.6,Head-to-Head,Nott'ham Forest,0,5,15,5,0,0
5/20/2023,17:30,Matchweek 37,Sat,Home,3,1,0,Arsenal,1.06,1.742857143,38.6,Head-to-Head,Nott'ham Forest,1,0,17,5,0,0
5/14/2023,14:00,Matchweek 36,Sun,Home,0,0,3,Manchester City,1.162857143,1.794285714,42.91428571,Head-to-Head,Everton,1,12,14,6,0,3
5/20/2023,15:00,Matchweek 37,Sat,Away,1,1,1,Wolves,1.162857143,1.794285714,42.91428571,Head-to-Head,Everton,0,19,15,5,0,0
5/15/2023,20:00,Matchweek 36,Mon,Home,0,0,3,Liverpool,1.388571429,1.648571429,48.8,Head-to-Head,Leicester City,1,11,20,0,0,3
5/13/2023,12:30,Matchweek 36,Sat,Home,1,2,2,Newcastle Utd,1.228571429,1.725714286,47.31428571,Head-to-Head,Leeds United,1,14,12,5,0,3
5/21/2023,13:30,Matchweek 37,Sun,Away,0,1,3,West Ham,1.228571429,1.725714286,47.31428571,Head-to-Head,Leeds United,0,18,13,6,3,3
5/13/2023,15:00,Matchweek 36,Sat,Home,0,0,2,Fulham,1.002857143,1.522857143,45.37142857,Head-to-Head,Southampton,1,8,15,5,0,3
5/21/2023,14:00,Matchweek 37,Sun,Away,0,1,3,Brighton,1.002857143,1.522857143,45.37142857,Head-to-Head,Southampton,0,4,14,6,0,0
